"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Batch", "TypeScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Code\2024\linlaw\src\app\dashboard\pages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 22, 150
"c:\Code\2024\linlaw\src\app\dashboard\related-businesses\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 9, 110
"c:\Code\2024\linlaw\src\app\dashboard\related-businesses\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\Code\2024\linlaw\src\app\dashboard\related-businesses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 1, 22, 266
"c:\Code\2024\linlaw\src\app\dashboard\roles\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 7, 108
"c:\Code\2024\linlaw\src\app\dashboard\roles\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Code\2024\linlaw\src\app\dashboard\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 1, 14, 225
"c:\Code\2024\linlaw\src\app\dashboard\send-emails\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 15, 262
"c:\Code\2024\linlaw\src\app\dashboard\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 1, 26, 164
"c:\Code\2024\linlaw\src\app\dashboard\users\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 7, 108
"c:\Code\2024\linlaw\src\app\dashboard\users\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Code\2024\linlaw\src\app\dashboard\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 1, 15, 292
"c:\Code\2024\linlaw\src\app\inquiry\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 6, 27, 307
"c:\Code\2024\linlaw\src\app\inquiry\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 13, 94
"c:\Code\2024\linlaw\src\app\inquiry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 8, 164
"c:\Code\2024\linlaw\src\app\layout-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Code\2024\linlaw\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 1, 12, 100
"c:\Code\2024\linlaw\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 10, 110
"c:\Code\2024\linlaw\src\app\newsletters\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 426, 0, 0, 0, 5, 49, 480
